연도,연령대,행정동,인구수
2018,41-45세,분당동,2448
2018,41-45세,수내1동,1796
2018,41-45세,수내2동,1385
2018,41-45세,수내3동,1740
2018,41-45세,정자1동,2919
2018,41-45세,정자2동,1407
2018,41-45세,정자3동,1417
2018,41-45세,정자동,1700
2018,46-50세,구미1동,1827
2018,46-50세,구미동,3111
2018,46-50세,금곡동,2622
2018,46-50세,분당동,2901
2018,46-50세,수내1동,2183
2018,46-50세,수내2동,1427
2018,46-50세,수내3동,1837
2018,46-50세,정자1동,3181
2018,46-50세,정자2동,1522
2018,46-50세,정자3동,1688
2018,46-50세,정자동,1879
2018,51-55세,구미1동,1541
2018,51-55세,구미동,2633
2018,51-55세,금곡동,2321
2018,51-55세,분당동,2066
2018,51-55세,수내1동,1384
2018,51-55세,수내2동,729
2018,51-55세,수내3동,1055
2018,51-55세,정자1동,2312
2018,51-55세,정자2동,1257
2018,51-55세,정자3동,1292
2018,51-55세,정자동,1404
2018,56-60세,구미1동,1356
2018,56-60세,구미동,2482
2018,56-60세,금곡동,2302
2018,56-60세,분당동,2041
2018,56-60세,수내1동,996
2018,56-60세,수내2동,560
2018,56-60세,수내3동,857
2018,56-60세,정자1동,1806
2018,56-60세,정자2동,1195
2018,56-60세,정자3동,1038
2018,56-60세,정자동,1474
2018,61-65세,구미1동,888
2018,61-65세,구미동,1711
2018,61-65세,금곡동,1760
2018,61-65세,분당동,1420
2018,61-65세,수내1동,722
2018,61-65세,수내2동,417
2018,61-65세,수내3동,533
2018,61-65세,정자1동,1240
2018,61-65세,정자2동,817
2018,61-65세,정자3동,693
2018,61-65세,정자동,1046
2018,66-70세,구미1동,538
2018,66-70세,구미동,1233
2018,66-70세,금곡동,1124
2018,66-70세,분당동,878
2018,66-70세,수내1동,525
2018,66-70세,수내2동,290
2018,66-70세,수내3동,315
2018,66-70세,정자1동,944
2018,66-70세,정자2동,592
2018,66-70세,정자3동,433
2018,66-70세,정자동,691
2018,71-75세,구미1동,453
2018,71-75세,구미동,1042
2018,71-75세,금곡동,1000
2018,71-75세,분당동,674
2018,71-75세,수내1동,478
2018,71-75세,수내2동,240
2018,71-75세,수내3동,256
2018,71-75세,정자1동,848
2018,71-75세,정자2동,546
2018,71-75세,정자3동,418
2018,71-75세,정자동,509
2018,76-80세,구미1동,385
2018,76-80세,구미동,898
2018,76-80세,금곡동,813
2018,76-80세,분당동,566
2018,76-80세,수내1동,450
2018,76-80세,수내2동,204
2018,76-80세,수내3동,194
2018,76-80세,정자1동,716
2018,76-80세,정자2동,478
2018,76-80세,정자3동,354
2018,76-80세,정자동,365
2018,80세+,구미1동,446
2018,80세+,구미동,1153
2018,80세+,금곡동,954
2018,80세+,분당동,636
2018,80세+,수내1동,605
2018,80세+,수내2동,238
2018,80세+,수내3동,203
2018,80세+,정자1동,663
2018,80세+,정자2동,644
2018,80세+,정자3동,482
2018,80세+,정자동,356
2019,0-5세,구미1동,837
2019,0-5세,구미동,1432
2019,0-5세,금곡동,1285
2019,0-5세,분당동,1158
2019,0-5세,수내1동,570
2019,0-5세,수내2동,426
2019,0-5세,수내3동,420
2019,0-5세,정자1동,1086
2019,0-5세,정자2동,732
2019,0-5세,정자3동,798
2019,0-5세,정자동,1024
2019,06-10세,구미1동,746
2019,06-10세,구미동,1265
2019,06-10세,금곡동,1009
2019,06-10세,분당동,1367
2019,06-10세,수내1동,942
2019,06-10세,수내2동,981
2019,06-10세,수내3동,970
2019,06-10세,정자1동,1338
2019,06-10세,정자2동,473
2019,06-10세,정자3동,829
2019,06-10세,정자동,800
2019,11-15세,구미1동,825
2019,11-15세,구미동,1396
2019,11-15세,금곡동,1198
2019,11-15세,분당동,1540
2019,11-15세,수내1동,1101
2019,11-15세,수내2동,1059
2019,11-15세,수내3동,1368
2019,11-15세,정자1동,1560
2019,11-15세,정자2동,684
2019,11-15세,정자3동,873
2019,11-15세,정자동,943
2019,16-20세,구미1동,1158
2019,16-20세,구미동,1807
2019,16-20세,금곡동,1624
2019,16-20세,분당동,1746
